Am	I	not	more	to	you	than	ten	sons	?																															
O	O	O	O	O	O	O	O	O	O																															
Forse	che	io	non	sono	meglio	per	te	di	dieci	figli	?																													
O	O	O	O	O	O	O	O	O	O	O	O																													
The	term	is	also	used	as	shorthand	by	Ye	.																															
O	O	O	O	O	O	B	I	I	O																															
Il	termine	è	anche	usato	come	abbreviazione	di	Ye	.																															
O	O	O	O	O	O	B	I	I	O																															
Kallah	Rabbati	(	Hebrew	:	כלה	רבתי	–	an	above	elaboration	)	.																												
B	I	O	O	O	O	O	O	O	O	O	O	O																												
Kallah	Rabbati	(	ebraico	:	כלה	רבתי	-	elaborazione	sopra	)	.																													
B	I	O	O	O	O	O	O	O	O	O	O																													
Indeed	,	Allah	is	but	one	God	.																																	
O	O	O	O	O	O	O	O																																	
Invero	Allah	è	un	dio	unico	.																																		
O	O	O	O	O	O	O																																		
To	Him	belongs	whatever	is	in	the	heavens	and	whatever	is	on	the	earth	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
A	Lui	appartiene	tutto	quello	che	è	nei	cieli	e	tutto	quello	che	è	sulla	terra	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
He	is	almighty	,	merciful	,	and	infinitely	beneficent	.																															
O	O	O	O	O	O	O	O	O	O																															
Egli	è	onnipotente	,	misericordioso	,	ed	infinitamente	benevolo	.																															
O	O	O	O	O	O	O	O	O	O																															
Indeed	,	those	who	have	been	given	the	Scripture	well	know	that	it	is	the	truth	from	their	Lord	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
Certo	,	coloro	a	cui	è	stato	dato	il	Libro	,	sanno	bene	che	questa	è	la	verità	che	viene	dal	loro	Signore	.																	
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																	
It	will	be	good	for	you	.																																		
O	O	O	O	O	O	O																																		
Sarà	un	bene	per	voi	.																																			
O	O	O	O	O	O																																			
Would	one	of	you	like	to	eat	the	flesh	of	his	dead	brother	?																											
O	O	O	O	O	O	O	O	O	O	O	B	I	O																											
Qualcuno	di	voi	mangerebbe	la	carne	suo	fratello	morto	?																															
O	O	O	O	O	O	O	B	I	O																															
The	ba	(	or	soul	)	of	Ra	unites	with	his	own	body	,	or	alternatively	with	the	Ba	of	Osiris	within	the	circle	formed	by	the	Mehen	serpent	.											
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	B	I	O											
Il	Ba	(	o	anima	)	di	Ra	si	unisce	con	il	proprio	corpo	,	o	in	alternativa	con	il	Ba	di	Osiride	all'	interno	del	cerchio	formato	dal	serpente	Mehen	.									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	B	I	O									
Their	disputes	and	quarrels	increased	day	by	day	.																																
O	O	O	O	O	O	O	O	O																																
Le	loro	dispute	e	litigi	aumentarono	di	giorno	in	giorno	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Allah	then	gave	an	order	to	the	fire	,	O 	fire	!																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Allah	poi	ha 	poi	dato	l'	ordine	al 	fuoco	,	"	O	il	fuoco	!	"	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
Who	could	have	foreseen	it	?																																			
O	O	O	O	O	O																																			
Chi	avrebbe	potuto	prevederlo	?																																				
O	O	O	O	O																																				
One	always	sees	oneself	as	weak	and	in	need	of	Allah	.																													
O	O	O	O	O	O	O	O	B	I	I	O																													
Ci	si	vede	sempre	deboli	e	in	bisogno	di	Allah	.																														
O	O	O	O	O	O	O	B	I	I	O																														
And	why	particularly	in	France	,	a	very	Catholic	country	in	the	past	?																											
O	O	O	O	O	O	O	B	I	I	O	O	O	O																											
E	perché	in	particolare	in	Francia	,	un	paese	molto	cattolico	in	passato	?																											
O	O	O	O	O	O	O	O	B	I	I	O	O	O																											
They	love	wealth	and	forget	the	reckoning	.																																	
O	O	O	O	O	O	O	O																																	
Essi	amano	la	ricchezza	e	dimenticano	la	resa	dei	conti	.																														
O	O	O	O	O	O	O	B	I	I	O																														
They	were	worshipped	as	gods	of	earth	(	mountains	)	and	sea	.																												
O	O	O	O	B	I	I	O	O	O	O	O	O																												
Erano	adorati	come	dei	della	terra	(	delle	montagne	)	e	del	mare	.																											
O	O	O	B	I	I	O	O	O	O	O	O	O	O																											
I	will	continue	to	work	,	as	Tony	Blair	did	,	very	closely	with	the	American	administration	.																							
O	O	O	O	O	O	O	B	I	O	O	O	O	O	O	B	I	O																							
Continuerò	a	lavorare	,	come	Tony	Blair	ha	fatto	,	da	vicino	con	l'	amministrazione	americana	.																								
O	O	O	O	O	B	I	O	O	O	O	O	O	O	B	I	O																								
Attempting	to	convince	another	to	worship	idols	.																																	
O	O	O	O	O	O	O	O																																	
Tentare	di	convincere	un	altro	ad	adorare	gli	idoli	.																															
O	O	O	O	O	O	O	O	O	O																															
The	Decree	of	Allah	.																																				
O	B	I	I	O																																				
Il	Decreto	di	Allah	.																																				
O	B	I	I	O																																				
This	is	the	only	thing	these	people	(	Los	Zetas	)	can	do	.																											
O	O	O	O	O	O	O	O	B	I	O	O	O	O																											
Questa	è	la	sola	cosa	che	questa	gente	(	Los	Zetas	)	può	fare	.																										
O	O	O	O	O	O	O	O	O	B	I	O	O	O	O																										
And	he	prayed	that	day	and	received	the	Lord	.																															
O	O	O	O	O	O	O	O	O	O																															
E	pregò	quel	giorno	e	ricevette	il	Signore	.																																
O	O	O	O	O	O	O	O	O																																
I	said	:	My	lord	is	Merciful	and	Forgiving 	.																															
O	O	O	O	O	O	O	O	O	O																															
Ho	detto	:	Il	mio	signore	è	misericordioso	e	perdonatore	.																														
O	O	O	O	O	O	O	O	O	O	O																														
They	were	published	in	a	book	titled	Sobre	el	Cielo	y	la	Tierra	(	Between	Heaven	and	Earth	)	.																					
O	O	O	O	O	O	O	B	I	I	I	I	I	O	O	O	O	O	O	O																					
Furono	poi	raccolti	e	pubblicati	in	un	libro	intitolato	Sobre	el	Cielo	y	la	Tierra	(	tra	cielo	e	terra	)	.																			
O	O	O	O	O	O	O	O	O	B	I	I	I	I	I	O	O	O	O	O	O	O																			
Catch	something	and	eat	it	.																																			
O	O	O	O	O	O																																			
Prendere	qualcosa	e	mangiarla	.																																				
O	O	O	O	O																																				
In	the	name	of	God	,	the	merciful	and	compassionate	.																														
O	O	B	I	I	O	O	O	O	O	O																														
In	nome	di	Dio	,	il	Compassionevole	ed	il	Misericordioso	.																														
O	B	I	I	O	O	O	O	O	O	O																														
GOD	is	Merciful	towards	you	.																																			
O	O	O	O	O	O																																			
DIO	è	misericordioso	verso	di	voi	.																																		
O	O	O	O	O	O	O																																		
He	then	created	Heaven	and	Earth	.																																		
O	O	O	O	O	O	O																																		
Ha	poi	creato	Cielo	e	Terra	.																																		
O	O	O	O	O	O	O																																		
Allah	will	help	you	.																																				
O	O	O	O	O																																				
Allah	vi	aiuterà	.																																					
O	O	O	O																																					
Creator	of	the	heavens	and	the	earth	!																																	
B	I	I	I	I	I	I	O																																	
Creatore	dei	cieli	e	della	terra	!																																		
B	I	I	I	I	I	O																																		
All	is	from	our	Lord	.																																			
O	O	O	O	O	O																																			
Tutto	è	dal	nostro	Signore	 .																																			
O	O	O	O	O	O																																			
And	if	that	were	not	so	,	why	do	states	have	armies	?																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
E	se	non	fosse	così	,	perché	gli	stati	avrebbero	eserciti	?																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Hosanna	to	the	God	(	Son	)	of	David	!																															
O	O	O	O	O	O	O	O	O	O																															
Osanna	al	Dio	(	Figlio	)	di	Davide	!																																
O	O	O	O	O	O	O	O	O																																
And	ever	is	Allah	Forgiving	and	Merciful	.																																	
O	O	O	O	O	O	O	O																																	
Allah	sempre	accetta	il	pentimento	ed	è	misericordioso	.																																
O	O	O	O	O	O	O	O	O																																
I	ask	Allah	‘s	forgiveness	for	him	.																																	
O	O	O	O	O	O	O	O																																	
Imploro	il	perdono	di	Allah	per	lui	.																																	
O	O	O	O	O	O	O	O																																	
It	will	be	with	them	until	the	Day	of	Resurrection	.																														
O	O	O	O	O	O	O	B	I	I	O																														
Questi	lo	custodiranno	fino	giorno	della	resurrezione	.																																	
O	O	O	O	B	I	I	O																																	
And	Allah	is	Forgiving	,	Merciful	 .																																		
O	O	O	O	O	O	O																																		
Ed	Allah	è	Perdonatore	,	Misericordioso	.																																		
O	O	O	O	O	O	O																																		
(	Therefore	)	There	does	not	exist	an	omnipotent	,	omniscient	,	wholly	good	being	.																									
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																									
(	Perciò	)	Non	esiste	un	essere	onnipotente	,	onnisciente	,	infinitamente	buono	.																											
O	O	O	O	O	O	B	I	O	O	O	O	O	O																											
Sa'īd	:	Wherever	you	turn	,	there	is	the	Face	of	Allah	.																												
O	O	O	O	O	O	O	O	O	B	I	I	O																												
Sa'īd	:	Ovunque	vi	volgiate	,	ivi	è	il	Volto	di	Allah	.																												
O	O	O	O	O	O	O	O	O	B	I	I	O																												
Does	the	Rome	team	have	a	budget	hole	?																																
O	O	B	I	O	O	B	I	O																																
La	squadra	della	Roma	ha	un	buco	di	bilancio	?																															
O	B	I	I	O	O	B	I	I	O																															
And	their	heavens	will	fall	one	upon	the	next	and	their	forces	will	be	consumed	by	fire	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
Ed	i	loro	cieli	precipiteranno	uno	dopo	l'	altro	e	le	loro	schiere	saranno	consumate	dal	fuoco	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
Enter	thou	into	the	joy	of	thy	Lord	.																																
O	O	O	O	O	O	O	O	O																																
Entra	nella	gioia	del	tuo	Signore	.																																		
O	O	O	O	O	O	O																																		
The	Sons	of	Abraham	.																																				
O	B	I	I	O																																				
I	figli	di	Abramo	.																																				
O	B	I	I	O																																				
In	a	speech	to	them	,	he	said	:	Who	are	the	oppressors	?																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Parlando	ad	un	incontro	sindacale	affermò	:	Chi	sono	gli	oppressori	?																													
O	O	O	B	I	O	O	O	O	O	O	O																													
(	Aria	:	I	 have	a	 certain	flush	)	.																															
O	O	O	O	O	O	O	O	O	O																															
(	Aria	:	Ho	un	certo	rossore	)	.																																
O	O	O	O	O	O	O	O	O																																
She	said	:	What	a	horde	is 	this	which	I	have	born	!																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Disse	:	Che 	orda	è	questa	che	ho	partorito	!																															
O	O	O	O	O	O	O	O	O	O																															
And	wherever	you	are	,	turn	your	faces	toward	it	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Ed	ovunque	siate	,	rivolgete	il	volto	nella	sua	direzione	.																														
O	O	O	O	O	O	O	O	O	O	O																														
I	have	not	seen	him	give	an	order	all	morning	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Non	l'	ho	visto	impartire	un	ordine	per	tutta	la	mattina	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
How	much	new	painting	is	allowed	?																																		
O	O	B	I	O	O	O																																		
Quanta	nuova	pittura	è	consentita	?																																			
O	B	I	O	O	O																																			
If	only	all	my	torments	were	concentrated	here	!																																
O	O	O	O	O	O	O	O	O																																
Se	solo	tutti	i	miei	tormenti	fossero	concentrati	qui	!																															
O	O	O	O	O	O	O	O	O	O																															
I	have	not	acted	(	or	judged	)	with	undue	haste	.																													
O	O	O	O	O	O	O	O	O	B	I	O																													
Non	ho	agito	(	o	giudicato	)	con	fretta	indebita	.																														
O	O	O	O	O	O	O	O	B	I	O																														
When	his	premises	were	taken	over	by	the	city	,	he	suffered	a	great	loss	to	him	.																							
O	O	O	O	B	I	O	O	O	O	O	O	O	B	I	O	O	O																							
Quando	i	suoi	locali	furono	rilevati	dalla	città	,	ne	ebbe	una	grave	perdita	.																										
O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																										
The	Lord	offered	the	Law	to	all	nations	;	but	all	refused 	to	accept 	it	except	Israel	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
Il	Signore	offrì	la	Legge	a	tutte	le	nazioni	;	ma	tutte	si	rifiutarono	di	accettare	,	eccetto	Israele	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
Saddam	is	gone	,	thanks	to	you	.																																	
O	O	O	O	O	O	O	O																																	
Saddam	se	n'	è	andato	,	grazie	a	voi	.																															
O	O	O	O	O	O	O	O	O	O																															
His	father	Henry	Apps	died	during	this	time	;	this	may	have	given	reason	for	some	of	the	leave	.																					
O	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
